Russian,English
я,I
не,not
что,A what
в,in
и,and
ты,You will
это,This is
на,on
с,with
он,he
мы,We are
как,how
вы,You
да,Yes
мне,To me
у,at
нет,No
меня,me
так,so
но,but
а,and
его,his
все,all
она,She is
тебя,thee
о,about
если,if
за,behind
бы,Would
тебе,you
они,they
чтобы,that
же,same
есть,eat
просто,simply
из,from
к,to
для,for
ну,well
когда,when
хорошо,Ok
здесь,In here
по,along
был,was
знаю,Yes I know
то,that
только,only
всё,all
было,Was
вас,you
может,Can
нас,us
вот,here
от,From
быть,be
кто,who
будет,Will
почему,why
вам,you
их,their
очень,Very much
могу,Can
уже,Already have
спасибо,Thank you
или,or
нам,us
еще,more
там,Over there
нужно,Have to
сейчас,Right away
где,Where is
чем,than
хочу,Want to
ничего,No problem
этого,This
была,Was
мой,my
ее,her
ладно,okay
знаешь,You know
п,P
до,before
этом,This
потому,therefore
теперь,For now
думаю,I think
больше,more
её,her
со,with
раз,time
ему,him
надо,must
время,It's time
этот,This one
ли,whether
ещё,yet
пока,So long
даже,even
привет,Hello
сказал,quoth
